Time,Magnitude
4026,1.057555
4027,1.031231
4028,1.025337
4029,1.012048
4030,0.990976
4031,0.977843
4032,0.974598
4033,0.998644
4034,1.007151
4035,1.008971
4036,1.015775
4037,1.023689
4038,1.026100
4039,1.024660
4040,1.015300
4041,1.008330
4042,1.017130
4043,1.011075
4044,1.005946
4045,1.000849
4046,0.997582
4047,0.985768
4048,0.987890
4049,0.994326
4050,0.984557
4051,0.977976
4052,0.979383
4053,0.968899
4054,0.957016
4055,0.974798
4056,1.002399
4057,1.011883
4058,0.999708
4059,0.984039
4060,0.959056
4061,0.924854
4062,0.896130
4063,0.883030
4064,0.885067
4065,0.881261
4066,0.878697
4067,0.863038
4068,0.833878
4069,0.807517
4070,0.797407
4071,0.808109
4072,0.802154
4073,0.781203
4074,0.749633
4075,0.721406
4076,0.711941
4077,0.681323
4078,0.666731
4079,0.705360
4080,0.764560
4081,0.833020
4082,0.892180
4083,0.909431
4084,0.911322
4085,0.896862
4086,0.880582
4087,0.878473
4088,0.934354
4089,1.008205
4090,1.072939
4091,1.089563
4092,1.057214
4093,1.038040
4094,1.073346
4095,1.086406
4096,1.058360
4097,1.026326
4098,1.069871
4099,1.159652
4100,1.252440
4101,1.294438
4102,1.294519
4103,1.242258
4104,1.164194
4105,1.124677
4106,1.123886
4107,1.159677
4108,1.245352
4109,1.355941
4110,1.347091
4111,1.327936
4112,1.340737
4113,1.321296
4114,1.279451
4115,1.232814
4116,1.195811
4117,1.199308
4118,1.193017
4119,1.187428
4120,1.169923
4121,1.152780
4122,1.168624
4123,1.172809
4124,1.142819
4125,1.088190
4126,1.054577
4127,1.055043
4128,1.057268
4129,1.051490
4130,1.031421
4131,1.002727
4132,0.986517
4133,0.970503
4134,0.958355
4135,0.965281
4136,0.989146
4137,1.018573
4138,1.011175
4139,0.988364
4140,1.004822
4141,0.962710
4142,0.987703
4143,0.964831
4144,0.957600
4145,0.972700
4146,0.939167
4147,0.932670
4148,0.944494
4149,0.992500
4150,1.035461
4151,1.036716
4152,1.044139
4153,1.013262
4154,0.965255
4155,0.972923
4156,0.991614
4157,1.005558
4158,0.991981
4159,0.960347
4160,0.971405
4161,0.992464
4162,1.003718
4163,1.005175
4164,1.000046
4165,0.956843
4166,0.980450
4167,1.115236
4168,1.095936
4169,1.014445
4170,0.898194
4171,0.903546
4172,0.976048
4173,0.967828
4174,1.002857
4175,1.058063
4176,1.044857
4177,0.998546
4178,0.954746
4179,0.901467
4180,0.837303
4181,0.851919
4182,0.933650
4183,0.988571
4184,1.022327
4185,1.021760
4186,1.005306
4187,1.045382
4188,1.079773
4189,1.043551
4190,0.990820
4191,0.970078
4192,0.935494
4193,0.964966
4194,1.048533
4195,1.104671
4196,1.109661
4197,1.065121
4198,0.998924
4199,0.999057
4200,0.988902
4201,0.949866
4202,0.930912
4203,0.947801
4204,0.959772
4205,1.016955
4206,1.070853
4207,1.077301
4208,1.038147
4209,1.011268
4210,0.968723
4211,0.950334
4212,0.928949
4213,0.900040
4214,0.985609
4215,1.013113
4216,1.059702
4217,1.082460
4218,1.061787
4219,1.049240
4220,1.101100
4221,1.111045
4222,1.047924
4223,0.957149
4224,0.895377
4225,0.956626
4226,1.000684
4227,1.020093
4228,1.030887
4229,1.038854
4230,1.034608
4231,1.051947
4232,1.097471
4233,1.095217
4234,1.025496
4235,0.954045
4236,0.926060
4237,0.929598
4238,0.944830
4239,1.013905
4240,1.062936
4241,1.093873
4242,1.040488
4243,1.027804
4244,0.993766
4245,0.911381
4246,0.918793
4247,0.944159
4248,0.956074
4249,1.045641
4250,1.081469
4251,1.067654
4252,1.062912
4253,1.007044
4254,0.976930
4255,0.956125
4256,0.947317
4257,0.966304
4258,0.977022
4259,0.951061
4260,0.959378
4261,1.045411
4262,1.126647
4263,1.169799
4264,1.190703
4265,1.162835
4266,1.117682
4267,1.061008
4268,1.098399
4269,1.030857
4270,1.025372
4271,1.037194
4272,1.115083
4273,1.134895
4274,1.077232
4275,1.035198
4276,1.019275
4277,1.018965
4278,0.998612
4279,0.977618
4280,1.002115
4281,1.027864
4282,1.045527
4283,1.035719
4284,1.007705
4285,1.005301
4286,1.011374
4287,1.006290
4288,1.047687
4289,1.046499
4290,0.974816
4291,0.970059
4292,0.985653
4293,0.985855
4294,0.976459
4295,1.020482
4296,1.007938
4297,1.032826
4298,1.031703
4299,1.015720
4300,1.035755
4301,1.023165
4302,1.007647
4303,1.007475
4304,0.975758
4305,0.979413
4306,1.005568
4307,0.940886
4308,1.024828
4309,1.027482
4310,1.025227
4311,1.027985
4312,1.025009
4313,1.071252
4314,1.004236
4315,0.944622
4316,0.954142
4317,1.022254
4318,1.059020
4319,1.063123
4320,1.028033
4321,0.965411
4322,0.972207
4323,0.998918
4324,1.014862
4325,1.009285
4326,0.999966
4327,0.986236
4328,0.982092
4329,1.005723
4330,1.056287
4331,1.042225
4332,0.983548
4333,0.953547
4334,0.965656
4335,1.019152
4336,1.045283
4337,0.999780
4338,0.993420
4339,0.995241
4340,1.024755
4341,1.015326
4342,1.017985
4343,1.007712
4344,0.981255
4345,0.979726
4346,0.998687
4347,1.039670
4348,1.046247
4349,1.021484
4350,1.016479
4351,1.023954
4352,1.027538
4353,1.017504
4354,0.995555
4355,0.975685
4356,0.969492
4357,1.011682
4358,0.983963
4359,0.974352
4360,0.996270
4361,1.021921
4362,1.012226
4363,0.991158
4364,0.925279
4365,0.948127
4366,1.087600
4367,1.085633
4368,1.023789
4369,0.964459
4370,0.961341
4371,0.984613
4372,1.007598
4373,1.022387
4374,1.014815
4375,1.005020
4376,1.017422
4377,1.025542
4378,1.008592
4379,0.943882
4380,0.941051
4381,1.044122
4382,1.109686
4383,1.046962
4384,0.967729
4385,0.951997
4386,0.976664
4387,0.999634
4388,0.999743
4389,0.989051
4390,0.969129
4391,1.028038
4392,0.986448
4393,1.104669
4394,1.097439
4395,1.066144
4396,1.023575
4397,0.996696
4398,0.948814
4399,0.924329
4400,0.980039
4401,1.053024
4402,1.047162
4403,1.035845
4404,1.028473
4405,1.034931
4406,1.028716
4407,1.000110
4408,0.974869
4409,0.979761
4410,0.993396
4411,1.023053
4412,1.013548
4413,0.988402
4414,0.965332
4415,0.989849
4416,1.038282
4417,1.031450
4418,1.006979
4419,1.018259
4420,1.026977
4421,1.012735
4422,1.005948
4423,0.993569
4424,0.992918
4425,0.986615
4426,1.009130
4427,1.020962
4428,0.997817
4429,1.003051
4430,1.036695
4431,1.063398
4432,1.046272
4433,1.014835
4434,0.964092
4435,0.956238
4436,0.997826
4437,1.054072
4438,1.040906
4439,1.000331
4440,0.986152
4441,1.003505
4442,1.013235
4443,1.020051
4444,1.013932
4445,0.994556
4446,0.975486
4447,0.995147
4448,1.027843
4449,1.047847
4450,1.005155
4451,0.968685
4452,0.997947
4453,1.040030
4454,1.043988
4455,1.012610
4456,1.001742
4457,0.997914
4458,0.999648
4459,1.009783
4460,1.019206
4461,1.021392
4462,1.017663
4463,0.999683
4464,0.999068
4465,1.006789
4466,1.002305
4467,0.997661
4468,1.001254
4469,1.011316
4470,1.019138
4471,1.023815
4472,1.019600
4473,1.013884
4474,1.006276
4475,1.004834
4476,1.004257
4477,1.003778
4478,1.004284
4479,1.010870
4480,1.018306
4481,0.971640
4482,0.971969
4483,0.987224
4484,0.996545
4485,1.025728
4486,1.040310
4487,1.042392
4488,1.023274
4489,1.003149
4490,1.018401
4491,1.030760
4492,1.020857
4493,0.990127
4494,0.966154
4495,0.987548
4496,1.030575
4497,0.995822
4498,1.015690
4499,1.008928
4500,0.982879
4501,1.030785
4502,0.998453
4503,0.966993
4504,0.997396
4505,1.030251
4506,1.016450
4507,1.014071
4508,1.030307
4509,1.016756
4510,0.993795
4511,0.988125
4512,1.000392
4513,1.029547
4514,1.038400
4515,1.013964
4516,0.977549
4517,0.990674
4518,1.028072
4519,1.025078
4520,1.009288
4521,1.001451
4522,0.991480
4523,0.993060
4524,1.005107
4525,0.980095
4526,1.039132
4527,1.064685
4528,0.977808
4529,0.988020
4530,1.010894
4531,0.992123
4532,1.009509
4533,1.045550
4534,1.010176
4535,0.952547
4536,0.979868
4537,1.032860
4538,1.026971
4539,1.011204
4540,1.004070
4541,1.023401
4542,1.031485
4543,0.995596
4544,0.986408
4545,1.009244
4546,1.018289
4547,1.006316
4548,0.998638
4549,1.002312
4550,1.009176
4551,1.004272
4552,1.041647
4553,1.008795
4554,0.981038
4555,0.991107
4556,1.001526
4557,1.014893
4558,1.029439
4559,1.014490
4560,0.995478
4561,0.999433
4562,0.998344
4563,1.011712
4564,1.034610
4565,1.003992
4566,0.997742
4567,1.011072
4568,1.009533
4569,1.000971
4570,1.008198
4571,1.014047
4572,0.993910
4573,0.976848
4574,1.016536
4575,0.999881
4576,1.003297
4577,1.019271
4578,1.000611
4579,0.996835
4580,1.009314
4581,1.014952
4582,1.016761
4583,1.012874
4584,1.005372
4585,0.996543
4586,0.995972
4587,0.999439
4588,1.007144
4589,1.016010
4590,1.006386
4591,0.994465
4592,1.003525
4593,1.010234
4594,1.011528
4595,1.007769
4596,1.015545
4597,1.018325
4598,1.017805
4599,1.012898
4600,1.009943
4601,1.004633
4602,1.002271
4603,1.000621
4604,1.004079
4605,1.008597
4606,1.018396
4607,1.015808
4608,1.006222
4609,0.991437
4610,0.992248
4611,1.000595
4612,1.013594
4613,1.014503
4614,1.004961
4615,1.003880
4616,1.007983
4617,1.016154
4618,1.007232
4619,1.006298
4620,1.012699
4621,1.008457
4622,1.005236
4623,1.005285
4624,1.002972
4625,0.984215
4626,0.997770
4627,1.007987
4628,1.016650
4629,1.013007
4630,0.999173
4631,1.008031
4632,1.005912
4633,1.004369
4634,1.011292
4635,1.008669
4636,1.005817
4637,1.003641
4638,0.998775
4639,1.007680
4640,1.016581
4641,1.012733
4642,1.008171
4643,1.011212
4644,1.006357
4645,1.005243
4646,0.999497
4647,1.000440
4648,1.007256
4649,1.014961
4650,1.008267
4651,1.007727
4652,1.011729
4653,1.010043
4654,1.002457
4655,0.995441
4656,1.001226
4657,1.021784
4658,1.023172
4659,1.008868
4660,0.998221
4661,1.006120
4662,1.010210
4663,1.005676
4664,0.990447
4665,0.991390
4666,1.032786
4667,1.029329
4668,1.004115
4669,0.991997
4670,0.995078
4671,1.007055
4672,1.004517
4673,1.000202
4674,1.002452
4675,1.005299
4676,1.028446
4677,1.007466
4678,0.983006
4679,0.991166
4680,1.012241
4681,1.020863
4682,1.013583
4683,1.004647
4684,1.009871
4685,1.006280
4686,1.007075
4687,1.008850
4688,1.004605
4689,1.004042
4690,1.009149
4691,1.005685
4692,1.007021
4693,1.011466
4694,1.013725
4695,1.012942
4696,0.997895
4697,0.995914
4698,1.004719
4699,1.012465
4700,1.018035
4701,1.019256
4702,1.016484
4703,1.001798
4704,1.004228
4705,1.005131
4706,0.998207
4707,1.000173
4708,0.992692
4709,0.998296
4710,1.010935
4711,1.006755
4712,1.032075
4713,1.017275
4714,0.984418
4715,1.017735
4716,1.004101
4717,1.003746
4718,1.016350
4719,1.000624
4720,10.743137
4721,1.001720
4722,1.001201
4723,1.002090
4724,0.997840
4725,0.999274
4726,1.000076
4727,1.005251
4728,1.006782
4729,1.011435
4730,1.003764
4731,1.005777
4732,1.003832
4733,1.006751
4734,1.006150
4735,1.001624
4736,1.003089
4737,1.003599
4738,1.001661
4739,0.999640
4740,1.006495
